,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
191,5.78,0,0.074264356,13,264.7568,1999,1,0,0,4745.8224
193,16.35,1,0.020631654,6,50.1324,2009,1,2,1,467.3916
195,10.5,1,0.041395445,6,37.6164,1997,2,0,0,540.6296
196,19,0,0.097313129,5,48.0718,1997,2,0,0,992.7078
197,14.6,1,0.059582996,11,238.8538,1999,1,0,0,6008.845
201,5.26,0,0.041764487,0,161.8868,2004,2,1,0,3275.736
204,15.1,1,0.052339069,10,242.7512,1997,2,0,0,4119.9704
206,13.65,1,0.065732883,5,45.7402,1999,1,0,0,780.9834
210,9.5,1,0.041878397,14,32.99,2004,2,1,0,133.16
211,13.8,1,0.058091482,4,245.1802,2004,2,1,0,5650.6446
218,17.2,1,0.15616879,10,160.6578,1987,0,2,0,3690.5294
219,6.32,1,0,10,40.2822,2004,2,1,0,1139.1838
220,4.88,0,0.133700752,0,52.9298,1999,1,0,0,1995.4026
222,15.85,0,0.110030997,5,37.2506,1997,2,0,0,265.6542
224,12.65,1,0.062837968,14,161.5578,1987,0,2,0,2406.867
226,20.75,1,0.024129332,6,124.173,1987,0,2,0,2956.152
228,9,1,0,3,79.7644,2004,2,1,0,1649.8524
233,7.55,1,0.027164679,3,152.334,2004,2,1,0,2603.278
234,13,1,0.099325278,9,45.406,1997,2,0,0,605.878
237,12.3,0,0.064565202,15,92.9804,1987,0,2,0,1929.4884
242,18.85,1,0.052044976,8,192.1846,2004,2,1,0,3248.4382
244,14.1,1,0.087977262,4,229.0668,2004,2,1,0,3225.1352
245,7.905,1,0.010010425,13,249.0408,2004,2,1,0,3755.112
246,12,1,0.033946163,3,179.3976,1987,0,2,0,3440.8544
247,12.15,0,0.058414678,6,163.4552,2004,2,1,0,974.7312
248,10.1,1,0.027106459,10,75.367,1999,1,0,0,535.969
251,17.1,1,0.128937661,6,112.3886,2009,1,2,1,1779.0176
252,7.785,1,0.088846306,6,61.451,1999,1,0,0,759.012
253,11.8,0,0.09357779,13,125.9704,1987,0,2,0,1877.556
257,8.645,1,0.143303291,8,96.341,1987,0,2,0,193.082
260,12.8,0,0.023511371,10,225.9404,1987,0,2,0,4950.8888
261,7.63,1,0.06105276,14,95.4436,2004,2,1,0,1418.154
265,16.35,1,0.090486828,9,195.211,1987,0,2,0,2553.343
266,17.6,1,0.056245075,5,43.3454,1987,0,2,0,1006.6896
267,7.975,1,0.014618973,0,85.225,1987,0,2,0,1081.925
269,15.7,1,0.045166237,5,178.666,1987,0,2,0,2516.724
270,8.985,0,0.057827101,5,128.831,1997,2,0,0,1428.141
271,20.35,1,0.089394766,4,260.1594,1987,0,2,0,2093.2752
272,6.59,1,0.10550944,6,85.6908,1987,0,2,0,1929.4884
273,19.85,1,0.005234153,4,264.0884,2004,2,1,0,5829.7448
274,16.85,1,0.036390174,13,91.4488,1997,2,0,0,2082.6224
276,16.75,1,0.081252534,6,256.4988,1987,0,2,0,7452.9652
280,7.785,0,0.038288087,6,103.1964,2009,1,2,1,736.3748
281,7.825,1,0.186032678,9,253.0698,2004,2,1,0,6088.0752
285,6.26,0,0.009866049,10,151.1366,2004,2,1,0,2267.049
287,13,1,0.099729888,9,46.306,2009,1,2,1,559.272
288,20.25,0,0.018801549,6,222.1772,2004,2,1,0,5559.43
289,8.695,1,0.119721451,9,95.5094,1999,1,0,0,1237.7222
293,7.075,1,0.05858462,4,142.7128,2009,1,2,1,1869.5664
295,8.195,1,0.031452265,0,94.3462,1999,1,0,0,925.462
296,7.09,1,0.00721395,0,47.9034,2004,2,1,0,583.2408
297,6.095,1,0.081196619,11,141.4154,1997,2,0,0,1418.154
299,6.15,1,0.04627095,0,99.3384,1997,2,0,0,2364.9216
302,17.7,1,0.012540003,9,167.0474,2004,2,1,0,5895.659
303,17.85,1,0.147023834,1,93.7436,2009,1,2,1,1134.5232
307,7.075,1,0,5,98.0068,2009,1,2,1,874.8612
308,6.445,1,0.029691762,0,92.6436,1997,2,0,0,1039.9796
309,19.1,1,0.096715523,6,235.0958,2004,2,1,0,3038.0454
310,20.25,0,0.014790559,4,193.6162,2004,2,1,0,3848.324
311,15,0,0.054378253,3,59.1904,1997,2,0,0,527.3136
312,6.67,0,0.123428594,13,89.1514,1997,2,0,0,2390.8878
314,16.7,0,0.052368061,5,112.7176,1987,0,2,0,801.6232
321,9.695,0,0.12848269,0,223.9404,1999,1,0,0,4950.8888
324,20.85,1,0.021362955,6,103.2306,1999,1,0,0,2404.2038
326,16.35,1,0.032511818,10,165.0842,1987,0,2,0,994.7052
330,20.7,1,0.09261307,4,76.367,1987,0,2,0,306.268
336,5.5,1,0.04709821,11,101.3016,1997,2,0,0,3339.6528
341,17.35,0,0.062799379,0,88.183,1987,0,2,0,539.298
342,7.285,1,0.031125709,9,174.3054,1987,0,2,0,4377.635
345,15.85,1,0.107765165,14,59.5904,1999,1,0,0,703.0848
346,6.17,1,0.010647477,10,66.3826,1999,1,0,0,1937.478
347,19.5,1,0.015749341,9,182.2608,1999,1,0,0,3307.6944
348,19.2,1,0.077628053,9,197.611,1999,1,0,0,3142.576
349,16.7,1,0,3,181.2292,2009,1,2,1,2554.0088
350,20.85,0,0.056695731,1,104.0648,2009,1,2,1,1869.5664
352,11.395,0,0.069529262,10,233.1616,1987,0,2,0,6093.4016
353,7.97,1,0.034452949,14,174.0422,1997,2,0,0,2586.633
354,7.71,0,0.06670068,13,55.2956,1999,1,0,0,1255.6988
355,19.25,0,0.034699737,3,141.7496,1997,2,0,0,4093.3384
356,7.075,1,0.058346939,4,142.2128,1997,2,0,0,3163.8816
358,11.6,0,0.078929571,5,79.9276,1997,2,0,0,1137.1864
360,12.1,1,0.016895293,7,178.566,2009,1,2,1,898.83
361,10,1,0.073379745,8,118.244,1997,2,0,0,2756.412
363,10.395,1,0.112271498,13,58.222,1999,1,0,0,659.142
365,8.1,1,0.127929521,6,211.4902,1987,0,2,0,3610.6334
366,8.05,0,0.07838564,6,256.4646,2004,2,1,0,5153.292
368,20.7,0,0.047684831,4,212.5876,2009,1,2,1,1286.3256
373,9,1,0.065236932,13,176.437,2004,2,1,0,7763.228
374,6.785,0,0.041947547,10,41.2112,1987,0,2,0,809.6128
375,19.5,1,0.082888496,3,178.6002,2009,1,2,1,1253.7014
376,7.575,1,0.055390121,4,195.2768,1997,2,0,0,5715.2272
377,18.2,0,0.012194556,6,57.7904,1987,0,2,0,1464.76
378,16.75,1,0.060495243,4,169.8106,1987,0,2,0,3251.1014
379,7.47,0,0,5,214.3218,2004,2,1,0,4274.436
382,13.85,0,0.085622362,10,119.4124,2009,1,2,1,2251.7356
384,6.11,0,0.102920886,6,130.4968,1997,2,0,0,3523.4136
385,15.25,1,0.026604781,13,86.2198,2004,2,1,0,610.5386
386,15.85,1,0,3,96.4094,2004,2,1,0,1237.7222
389,20.75,1,0.021250002,14,150.5024,1997,2,0,0,2580.6408
390,10.195,1,0.159936948,5,143.2154,1997,2,0,0,2552.6772
392,18,0,0.142688846,6,88.5514,1997,2,0,0,796.9626
395,6.59,1,0.105761491,6,84.8908,1999,1,0,0,1677.816
396,13.8,0,0.056960814,13,230.0984,1999,1,0,0,3707.1744
397,21.2,0,0.00704098,15,173.5738,1997,2,0,0,2954.1546
398,10.5,0,0.011026594,13,166.4842,2009,1,2,1,2652.5472
402,13.65,1,0.015908424,1,231.1668,2004,2,1,0,6911.004
403,19,1,0.017719277,8,211.0244,1997,2,0,0,3811.0392
406,6.865,1,0.056919038,13,212.8218,1999,1,0,0,5770.4886
407,10.8,0,0.048143292,0,40.2138,1997,2,0,0,690.4346
408,16.7,1,0.022047313,4,110.2886,1987,0,2,0,1890.2062
410,15.15,1,0.027779254,0,150.1708,1997,2,0,0,1504.708
412,17.6,1,0.008033611,4,174.2422,2009,1,2,1,4311.055
413,19.35,1,0.033088472,10,175.4738,1997,2,0,0,521.3214
414,15.7,1,0.160663021,9,59.4562,1997,2,0,0,829.5868
416,10.195,0,0.017627888,15,239.6538,2004,2,1,0,2403.538
422,20.1,0,0.022460102,6,226.8036,1999,1,0,0,3415.554
423,20.35,0,0,4,256.7672,2009,1,2,1,5624.6784
424,18.85,1,0.05213575,8,190.1846,1999,1,0,0,6687.961
425,16.35,0,0.062508438,6,227.1062,1999,1,0,0,5642.655
426,11.3,1,0.007309544,10,196.2426,2009,1,2,1,4943.565
427,17.5,1,0.015623754,6,182.6266,2009,1,2,1,3135.2522
431,20.25,0,0.011995271,3,184.5924,1997,2,0,0,4997.4948
432,15.5,0,0.15717236,13,149.1418,1999,1,0,0,588.5672
435,15.35,1,0.020310046,14,218.0508,1987,0,2,0,3038.7112
436,10.1,1,0.054630834,8,200.2084,1997,2,0,0,1587.2672
438,20.7,0,0.047565208,4,213.4876,1999,1,0,0,1929.4884
439,16,1,0.060797393,15,223.8404,1987,0,2,0,3600.6464
440,14,1,0.041291169,15,180.7634,1997,2,0,0,2181.1608
441,12.85,1,0.022604051,6,181.4318,1997,2,0,0,3428.2042
443,12.35,1,0.164196823,9,120.5124,1999,1,0,0,2133.2232
444,6.85,1,0.022976497,5,261.6594,2009,1,2,1,3401.5722
445,10.3,1,0.027310252,6,101.0042,2004,2,1,0,1289.6546
447,8.775,1,0,4,45.9428,1987,0,2,0,790.9704
450,14.85,1,0.09344495,0,141.0812,2004,2,1,0,1139.8496
451,20.5,0,0.019199733,5,84.3592,1997,2,0,0,1816.3024
452,7.84,0,0.154120252,3,51.935,2009,1,2,1,199.74
454,10.3,0,0.011117041,13,85.854,1987,0,2,0,2683.174
455,12.5,1,0.103422709,9,169.9448,2004,2,1,0,2897.5616
457,20.25,0,0.102723919,3,93.212,1997,2,0,0,1957.452
459,15,1,0.044871033,8,140.3838,1987,0,2,0,2528.7084
460,8.325,1,0.029760052,6,38.7138,1987,0,2,0,284.2966
462,13.1,1,0.020870744,4,117.3782,1997,2,0,0,1787.673
464,17.25,1,0.042413704,4,173.1764,2009,1,2,1,4466.1864
465,5.765,1,0.072284689,5,119.9098,2004,2,1,0,2048.6666
466,13.6,1,0.009984847,9,175.437,1987,0,2,0,1940.807
469,12.65,0,0.076354362,5,192.1846,2009,1,2,1,1146.5076
473,15.15,0,0.012282366,13,132.5284,1999,1,0,0,1713.7692
474,12.35,1,0.026681262,3,56.4246,1997,2,0,0,810.9444
475,14.3,1,0.127541722,5,84.9224,1997,2,0,0,1193.1136
476,8.695,1,0.119513002,9,93.4094,2004,2,1,0,856.8846
480,9.5,0,0.010907967,13,182.3608,1987,0,2,0,2940.1728
481,8.895,1,0.07543556,7,235.8616,2004,2,1,0,3046.7008
482,18.25,1,0,5,196.8452,1997,2,0,0,3327.6684
484,19.7,1,0.066922802,13,174.837,2004,2,1,0,2999.429
488,10.895,1,0.035747522,6,133.6284,1997,2,0,0,1581.9408
494,6.65,1,0.087652908,6,128.8678,2004,2,1,0,1398.8458
495,15.25,0,0.065999008,13,177.966,1999,1,0,0,2336.958
496,18.25,1,0.088750333,5,196.5452,1987,0,2,0,2348.9424
498,16,0,0.099252438,5,87.4856,2004,2,1,0,1054.6272
501,8.895,1,0.026384672,5,208.9954,1999,1,0,0,4584.6988
505,9.195,1,0,0,43.6744,2009,1,2,1,407.4696
506,11.35,0,0.043333912,6,201.0742,2009,1,2,1,2189.8162
508,9.395,1,0.039954281,11,82.4908,2004,2,1,0,2013.3792
512,5.695,1,0.065857092,5,258.5646,2009,1,2,1,4380.2982
514,19.35,0,0.082197959,0,49.2034,1987,0,2,0,729.051
517,9.8,1,0.013898123,14,46.506,2009,1,2,1,372.848
520,6.635,0,0,5,39.7506,1987,0,2,0,303.6048
523,8.3,1,0.03532494,6,38.9506,1987,0,2,0,721.0614
525,16.35,0,0.062411404,6,225.9062,1997,2,0,0,5416.9488
526,8.6,1,0.032754431,8,140.5154,2009,1,2,1,283.6308
530,12.6,0,0.062648111,5,104.899,1987,0,2,0,1960.781
533,18.1,1,0.17824575,4,158.1288,1999,1,0,0,3299.7048
535,16.6,1,0,6,173.3738,1997,2,0,0,2085.2856
536,6.695,1,0.033935576,5,221.9456,2004,2,1,0,2210.456
538,16.6,1,0.026537206,5,57.2614,1997,2,0,0,1049.9666
539,15.35,1,0.015673267,11,145.047,2004,2,1,0,2719.793
543,10,1,0.045818773,5,138.718,1987,0,2,0,1398.18
544,14.8,1,0.044869794,14,76.467,2004,2,1,0,1531.34
546,8.71,0,0.04605781,4,43.8744,1999,1,0,0,633.8416
549,9.5,0,0.035205866,6,171.3448,1999,1,0,0,2386.2272
550,11.8,0,0.076705948,13,34.7558,2004,2,1,0,780.9834
551,14.1,1,0.089677773,3,139.8496,1997,2,0,0,1693.7952
553,19.35,0,0.065520388,10,168.3816,1997,2,0,0,1342.2528
560,8.575,1,0.023983258,14,106.328,2009,1,2,1,958.752
562,20.7,0,0.100330684,6,123.4388,1999,1,0,0,1238.388
564,6.785,0,0.022970468,13,211.0928,2004,2,1,0,4418.2488
565,6.57,1,0.066014596,7,259.7278,1987,0,2,0,2863.6058
567,6.92,0,0.131128467,2,93.1804,1999,1,0,0,1561.9668
568,20.25,0,0.014816356,4,194.1162,1999,1,0,0,3848.324
571,16.5,1,0.035801238,8,92.612,2009,1,2,1,559.272
573,8.68,1,0.008871687,5,99.7384,2009,1,2,1,295.6152
575,7.235,1,0.058369013,13,115.2834,2009,1,2,1,1267.0174
576,16.75,0,0,14,39.3822,1997,2,0,0,353.5398
577,15.35,1,0.073269336,14,92.112,2004,2,1,0,1118.544
578,10.8,1,0.049677651,6,245.9144,1987,0,2,0,4655.2736
579,6.26,1,0.031470832,9,110.2228,1999,1,0,0,1547.3192
580,5.63,0,0.024579432,10,105.3306,1999,1,0,0,1045.306
582,12.15,1,0.015523707,5,212.0928,2009,1,2,1,2735.1064
584,9.195,1,0.107891398,13,182.7634,1997,2,0,0,3817.0314
585,19,1,0.128065918,13,104.3622,2004,2,1,0,1905.5196
587,9.8,1,0.090390357,11,192.1478,1987,0,2,0,2324.9736
589,18.85,1,0.052054819,8,189.1846,1997,2,0,0,2101.9306
592,17.1,1,0.067141355,9,114.586,2004,2,1,0,2942.836
593,6.715,0,0.121485195,0,40.2454,1987,0,2,0,587.2356
594,5.82,1,0.080640478,9,167.779,1997,2,0,0,2886.243
596,7.93,1,0,5,123.2414,2009,1,2,1,487.3656
599,5,1,0.044004675,14,188.853,1997,2,0,0,5502.837
600,7.445,1,0,0,76.8354,1997,2,0,0,2181.8266
601,20.85,1,0.121250374,13,193.9452,1997,2,0,0,1565.9616
602,20.85,1,0,10,115.1808,2009,1,2,1,1054.6272
603,19.2,1,0.100230114,5,112.9886,1999,1,0,0,1667.829
604,17.35,1,0.167383061,9,175.6712,1997,2,0,0,2812.3392
605,14.3,0,0.034404732,0,98.1726,2004,2,1,0,489.363
607,6.675,1,0.041913535,13,90.7462,2004,2,1,0,1665.8316
609,6.98,1,0.041105789,3,83.4934,1997,2,0,0,1555.9746
612,14.8,1,0.01946418,8,196.3794,1987,0,2,0,1950.794
613,12.3,0,0,13,57.3562,1987,0,2,0,177.7686
615,15.1,0,0.105646853,6,42.8796,2004,2,1,0,949.4308
617,10.1,1,0.046545786,7,59.9878,1987,0,2,0,484.7024
618,16,0,0.065009745,4,79.5986,1987,0,2,0,934.7832
620,8.1,0,0.134532392,3,39.448,1999,1,0,0,878.856
621,20.6,1,0.083133128,0,120.1756,1999,1,0,0,1332.9316
622,20.35,1,0.039428167,9,127.9678,2009,1,2,1,3560.6984
623,8.195,1,0,0,93.1462,2009,1,2,1,647.8234
625,7.475,1,0.148492521,6,240.6854,2004,2,1,0,1691.7978
626,19,0,0.065901299,6,188.7214,2009,1,2,1,1695.7926
627,12.6,0,0.041622264,6,124.0072,1999,1,0,0,4042.7376
629,7.895,0,0.0945493,2,102.6332,2004,2,1,0,1640.5312
632,8.355,1,0.188322664,3,148.5418,2009,1,2,1,2207.127
634,18.5,1,0.052025392,13,118.4124,1987,0,2,0,2370.248
637,10.1,0,0.053584207,6,224.4088,1997,2,0,0,4697.8848
638,9.285,0,0.020989132,13,158.6578,1987,0,2,0,2406.867
639,11.6,0,0.144017405,4,238.3222,1997,2,0,0,5736.5328
641,12.5,1,0.081465335,10,220.7798,2009,1,2,1,6611.394
643,14.15,1,0.042352822,4,51.6982,2009,1,2,1,1262.3568
644,20.2,1,0.074541867,9,94.1462,2009,1,2,1,1758.3778
647,5.655,1,0.175352413,14,147.4102,1999,1,0,0,2478.7734
648,20.75,0,0.083590755,5,182.2318,2004,2,1,0,3067.3406
649,5.175,0,0.029471408,13,105.4622,1987,0,2,0,3281.7282
653,18.35,1,0.03334929,4,155.034,2009,1,2,1,1990.742
654,12.8,1,0.076060037,6,95.141,1997,2,0,0,868.869
655,19.75,1,0.014301326,9,103.0332,1997,2,0,0,1230.3984
656,8.75,0,0.074931201,6,187.6556,2009,1,2,1,938.778
657,13.3,1,0.080131363,4,234.03,2009,1,2,1,4194.54
658,18.85,1,0.167444431,9,194.6136,1987,0,2,0,1166.4816
659,9.695,0,0.03033748,13,222.9114,1999,1,0,0,5764.4964
660,20.7,1,0.04874969,6,37.5506,2004,2,1,0,113.8518
663,8.975,0,0.05268526,3,83.3224,1987,0,2,0,3579.3408
664,12.15,1,0.018485511,5,253.1698,2009,1,2,1,1522.0188
665,7.67,1,0.184689756,9,35.4216,1987,0,2,0,450.0808
666,13.8,0,0.064153845,6,76.9012,1987,0,2,0,607.2096
667,4.785,1,0.092516598,1,120.1098,1987,0,2,0,1325.6078
668,20,0,0.104245198,3,105.3622,1999,1,0,0,1270.3464
670,8.395,1,0.07226985,7,254.104,2009,1,2,1,3542.056
671,6.175,0,0.179806961,10,95.2752,2009,1,2,1,1534.0032
672,8.21,1,0.044995631,4,89.2198,1999,1,0,0,1308.297
674,19.6,1,0.041459372,9,89.6514,2009,1,2,1,1239.7196
675,7.5,1,0.036234918,8,175.3028,1997,2,0,0,3896.2616
676,5.845,0,0.105445801,5,214.4218,2009,1,2,1,1496.0526
677,11.395,1,0,8,151.6708,1987,0,2,0,3460.8284
678,7.17,0,0.05997133,6,132.1968,2009,1,2,1,2870.9296
681,7.76,1,0.059341019,13,99.77,2004,2,1,0,798.96
683,10.8,1,0.098566832,10,98.3042,1999,1,0,0,1488.063
684,11.1,1,0.11084417,6,189.2846,1999,1,0,0,5159.2842
686,12.8,0,0.023567538,10,226.8404,1999,1,0,0,4500.808
688,20.6,0,0.04792722,6,185.9556,2004,2,1,0,4318.3788
690,16.85,1,0.044377096,6,185.8266,1987,0,2,0,1659.8394
696,12.6,1,0.007450258,9,186.7556,1987,0,2,0,2816.334
697,5.32,1,0.093027718,8,101.4674,1999,1,0,0,2954.1546
699,13,0,0.083498083,3,199.4426,2004,2,1,0,593.2278
701,19.85,1,0.025963795,9,46.3376,2004,2,1,0,1150.5024
703,14.6,1,0.059393919,9,181.7976,2004,2,1,0,3259.7568
704,7.55,1,0.027212058,3,152.734,1999,1,0,0,2756.412
705,13.8,1,0.013263968,3,106.9254,1997,2,0,0,2930.1858
707,10.1,1,0.03020851,8,153.1656,1997,2,0,0,1544.656
708,14.3,0,0.049634817,10,212.5586,1987,0,2,0,3165.879
709,9.8,1,0.047187038,0,100.6016,1997,2,0,0,1619.2256
710,11.3,1,0.066681333,9,194.4478,1997,2,0,0,387.4956
713,10.395,1,0.031273559,12,160.0604,1999,1,0,0,1267.6832
714,20.7,1,0.042836778,4,175.8028,1997,2,0,0,1593.9252
716,17.35,0,0.146895866,12,149.605,2009,1,2,1,3745.125
717,16.35,1,0.013420879,11,104.828,2009,1,2,1,1810.976
718,19.35,1,0.026181893,6,167.0474,1997,2,0,0,2358.2636
720,14.3,1,0.026428924,5,78.2302,2009,1,2,1,554.6114
722,20,0,0,5,127.3678,1997,2,0,0,1780.3492
727,8.18,0,0.082529704,5,56.9588,1999,1,0,0,744.3644
728,19.5,1,0.082552214,3,179.8002,1997,2,0,0,716.4008
729,18.7,1,0.089272253,13,254.7672,1997,2,0,0,5113.344
731,16,0,0.017536671,10,45.5718,1987,0,2,0,1039.9796
732,8.395,1,0.072088552,7,253.704,1999,1,0,0,4554.072
734,5.03,1,0.008644894,9,122.6756,2004,2,1,0,2665.8632
736,7.285,1,0.031145743,9,173.6054,2004,2,1,0,2626.581
737,20.35,1,0,13,120.9072,1999,1,0,0,1470.0864
743,18.25,1,0.015278899,13,199.0084,1997,2,0,0,3174.5344
744,20.35,1,0.039329257,9,127.6678,1999,1,0,0,2924.8594
